N	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
20	0.00001352	0.00001992	0.000042448	0.000120272	0.000382416	0.001234384	0.003855824	0.011195856	0.027973072	0.044750288															
21	0.000014216	0.000021	0.000045064	0.000129032	0.000415752	0.001366024	0.00438068	0.013293576	0.036362248	0.078305288															
22	0.000014912	0.00002208	0.00004768	0.000137792	0.000449088	0.001497664	0.004905536	0.015391296	0.044751424	0.111860288	0.178969152														
23	0.000015608	0.00002316	0.000050296	0.000146552	0.000482424	0.001629304	0.005430392	0.017489016	0.0531406	0.145415288	0.313187448														
24	0.000016304	0.00002424	0.000052912	0.000155312	0.00051576	0.001760944	0.005955248	0.019586736	0.061529776	0.178970288	0.447405744	0.7158412													
25	0.000017	0.00002532	0.000055528	0.000164072	0.000549096	0.001892584	0.006480104	0.021684456	0.069918952	0.212525288	0.58162404	1.25271268													
26	0.000017696	0.0000264	0.000058144	0.000172832	0.000582432	0.002024224	0.00700496	0.023782176	0.078308128	0.246080288	0.715842336	1.78958416	2.863325984												
27	0.000018392	0.00002748	0.00006076	0.000181592	0.000615768	0.002155864	0.007529816	0.025879896	0.086697304	0.279635288	0.850060632	2.32645564	5.0108102												
28	0.000019088	0.00002856	0.000063376	0.000190352	0.000649104	0.002287504	0.008054672	0.027977616	0.09508648	0.313190288	0.984278928	2.86332712	7.158294416	11.45326171											
29	0.000019784	0.00002964	0.000065992	0.000199112	0.00068244	0.002419144	0.008579528	0.030075336	0.103475656	0.346745288	1.118497224	3.4001986	9.305778632	20.04319687											
30	0.00002048	0.00003072	0.000068608	0.000207872	0.000715776	0.002550784	0.009104384	0.032173056	0.111864832	0.380300288	1.25271552	3.93707008	11.45326285	28.63313203	45.81300122										
31	0.000021176	0.0000318	0.000071224	0.000216632	0.000749112	0.002682424	0.00962924	0.034270776	0.120254008	0.413855288	1.386933816	4.47394156	13.60074706	37.22306719	80.17274015										
32	0.000021872	0.00003288	0.00007384	0.000225392	0.000782448	0.002814064	0.010154096	0.036368496	0.128643184	0.447410288	1.521152112	5.01081304	15.74823128	45.81300235	114.5324791	183.2519558									
33	0.000022568	0.00003396	0.000076456	0.000234152	0.000815784	0.002945704	0.010678952	0.038466216	0.13703236	0.480965288	1.655370408	5.54768452	17.8957155	54.40293751	148.892218	320.6909099									
34	0.000023264	0.00003504	0.000079072	0.000242912	0.00084912	0.003077344	0.011203808	0.040563936	0.145421536	0.514520288	1.789588704	6.084556	20.04319971	62.99287267	183.251957	458.1298639	733.0077708								
35	0.00002396	0.00003612	0.000081688	0.000251672	0.000882456	0.003208984	0.011728664	0.042661656	0.153810712	0.548075288	1.923807	6.62142748	22.19068393	71.58280783	217.6116959	595.5688179	1282.763585								
36	0.000024656	0.0000372	0.000084304	0.000260432	0.000915792	0.003340624	0.01225352	0.044759376	0.162199888	0.581630288	2.058025296	7.15829896	24.33816814	80.17274299	251.9714348	733.007772									
37	0.000025352	0.00003828	0.00008692	0.000269192	0.000949128	0.003472264	0.012778376	0.046857096	0.170589064	0.615185288	2.192243592	7.69517044	26.48565236	88.76267815	286.3311738	870.446726									
38	0.000026048	0.00003936	0.000089536	0.000277952	0.000982464	0.003603904	0.013303232	0.048954816	0.17897824	0.648740288	2.326461888	8.23204192	28.63313658	97.35261331	320.6909127	1007.88568									
39	0.000026744	0.00004044	0.000092152	0.000286712	0.0010158	0.003735544	0.013828088	0.051052536	0.187367416	0.682295288	2.460680184	8.7689134	30.78062079	105.9425485	355.0506516	1145.324634									
40	0.00002744	0.00004152	0.000094768	0.000295472	0.001049136	0.003867184	0.014352944	0.053150256	0.195756592	0.715850288	2.59489848	9.30578488	32.92810501	114.5324836	389.4103906	1282.763588									
41	0.000028136	0.0000426	0.000097384	0.000304232	0.001082472	0.003998824	0.0148778	0.055247976	0.204145768	0.749405288	2.729116776	9.84265636	35.07558922	123.1224188	423.7701295	1420.202542									
42	0.000028832	0.00004368	0.0001	0.000312992	0.001115808	0.004130464	0.015402656	0.057345696	0.212534944	0.782960288	2.863335072	10.37952784	37.22307344	131.712354	458.1298684										
43	0.000029528	0.00004476	0.000102616	0.000321752	0.001149144	0.004262104	0.015927512	0.059443416	0.22092412	0.816515288	2.997553368	10.91639932	39.37055766	140.3022891	492.4896074										
44	0.000030224	0.00004584	0.000105232	0.000330512	0.00118248	0.004393744	0.016452368	0.061541136	0.229313296	0.850070288	3.131771664	11.4532708	41.51804187	148.8922243	526.8493463										
45	0.00003092	0.00004692	0.000107848	0.000339272	0.001215816	0.004525384	0.016977224	0.063638856	0.237702472	0.883625288	3.26598996	11.99014228	43.66552609	157.4821594	561.2090853										
46	0.000031616	0.000048	0.000110464	0.000348032	0.001249152	0.004657024	0.01750208	0.065736576	0.246091648	0.917180288	3.400208256	12.52701376	45.8130103	166.0720946	595.5688242										
47	0.000032312	0.00004908	0.00011308	0.000356792	0.001282488	0.004788664	0.018026936	0.067834296	0.254480824	0.950735288	3.534426552	13.06388524	47.96049452	174.6620298	629.9285631										
48	0.000033008	0.00005016	0.000115696	0.000365552	0.001315824	0.004920304	0.018551792	0.069932016	0.26287	0.984290288	3.668644848	13.60075672	50.10797874	183.2519649	664.2883021										
49	0.000033704	0.00005124	0.000118312	0.000374312	0.00134916	0.005051944	0.019076648	0.072029736	0.271259176	1.017845288	3.802863144	14.1376282	52.25546295	191.8419001	698.648041										
50	0.0000344	0.00005232	0.000120928	0.000383072	0.001382496	0.005183584	0.019601504	0.074127456	0.279648352	1.051400288	3.93708144	14.67449968	54.40294717	200.4318352	733.0077799										
