Gamma, E, varE, T, varT, S, varS, dimension, vardimension
0.0 -12.5 0.0 1.21425343515 19.89672155378458 0.0 0.0 1.0 0.0
0.05 -12.531269403382597 1.4210854715202004e-13 0.275842692 0.002474240681094947 9.680196635714102e-6 9.884287006958652e-12 4.2 1.3599999999999994
0.1 -12.625312149007204 1.0174971976084635e-11 0.27686653665 0.0025823509749567097 0.0001221566034434478 1.7565121160770712e-9 4.35 2.2275000000000027
0.15 -12.78285049241831 2.7833380045194644e-10 0.3011806202000001 0.002415989870714619 0.000567582381903289 3.791234933242708e-8 6.35 2.227499999999999
0.2 -13.005130177628612 2.317790404049447e-9 0.30066651415 0.002977250478856164 0.0014895955888340091 2.6598622307542084e-7 6.25 4.6875
0.25 -13.294131100370965 2.01678744815581e-8 0.34455335839999995 0.004128095104875093 0.004086152528234748 2.0392591335063927e-6 9.0 6.0
0.3 -13.65242394293406 5.491554588843428e-8 0.32950640094999994 0.0034910776480402 0.007287788105697012 5.082224105245371e-6 8.05 6.247499999999988
0.35 -14.08419376631432 2.3834758167140535e-7 0.3795984402 0.006245943088928507 0.014886860140849991 2.1004586395115304e-5 10.9 4.590000000000003
0.4 -14.595553802689414 1.4152942640066613e-6 0.41702055025 0.004088016700427521 0.032901987365986214 0.00012800560088741105 14.5 0.75
0.45 -15.20000609260406 2.410445176792564e-10 0.45549123395 0.005490379419015673 0.12461683407313333 0.0006870266361679901 16.0 0.0
0.5 -15.917997388744652 1.1368683772161603e-13 0.4560018806 0.00527732013535695 0.93577006751125 4.997477986989907e-10 16.0 0.0
0.55 -16.78585866725819 -5.684341886080802e-14 0.45625808965000003 0.005015898147061798 0.6572874269381301 4.884981308350689e-15 16.0 0.0
0.6 -17.745204515719497 2.89276158582652e-10 0.4543670296999999 0.004559175304094304 0.5053221351174757 3.682281101147211e-7 16.0 0.0
0.65 -18.760275683222826 4.860112312599085e-11 0.45287808565 0.004319785660064329 0.41628483323609505 5.1112723692403605e-8 16.0 0.0
0.7 -19.814776699998202 1.1727365745173302e-9 0.45141315680000005 0.0034825462547662667 0.35241008097617266 4.752875809449497e-7 16.0 0.0
0.75 -20.899032217803317 5.637730282614939e-10 0.45439397359999995 0.005120047501202929 0.3060653085194196 2.0775201191314263e-7 16.0 0.0
0.8 -22.006315968402397 1.2158807294326834e-10 0.4495700887 0.004911098524361279 0.26942190577605757 4.1126961586313016e-8 16.0 0.0
0.85 -23.131964689373273 -1.1368683772161603e-13 0.4436244494 0.0063408479396487305 0.23984063655086652 0.0 16.0 0.0
0.9 -24.235509357340113 0.0 0.38274653389999996 0.0029988592683521664 0.10789002853749352 5.204170427930421e-18 11.0 0.0
0.95 -25.39059519360017 4.547473508864641e-13 0.37123510385 0.0027530410388569015 0.09759509582600144 -3.469446951953614e-18 9.95 0.04750000000001364
1.0 -26.555717978167685 -2.2737367544323206e-13 0.368739974 0.003737715871079711 0.08884297353169437 0.0 9.0 0.0
1.05 -27.72933581525777 1.1368683772161603e-13 0.3683990385 0.0033557045430050447 0.08131837451151373 8.673617379884035e-19 9.0 0.0
1.1 -28.910213156497935 1.1368683772161603e-13 0.36410979360000006 0.00294639189972562 0.07478724273764106 -1.734723475976807e-18 9.0 0.0
1.15 -30.09734690698877 1.1368683772161603e-13 0.3557453763999999 0.002835467782828005 0.06907169923593062 -8.673617379884035e-19 8.0 0.0
1.2 -31.289913324893263 -2.2737367544323206e-13 0.33348931335 0.001698875876906869 0.06403390009672447 8.673617379884035e-19 7.0 0.0
1.25 -32.48722907390714 0.0 0.3458039399 0.0038478789936187835 0.059565251290634016 0.0 7.0 0.0
1.3 -33.68872214647702 0.0 0.32962267645 0.001673452408882517 0.05557898199974369 4.336808689942018e-19 7.0 0.0
1.35 -34.893909817082005 -4.547473508864641e-13 0.34039642574999995 0.003600499533326501 0.052004898807599065 8.673617379884035e-19 7.0 0.0
1.4 -36.10238169480503 -2.2737367544323206e-13 0.326808285 0.0017655497242123203 0.0487855987405376 -1.3010426069826053e-18 7.0 0.0
1.45 -37.31378653486039 4.547473508864641e-13 0.33570478444999996 0.003053815286918185 0.04587368335067656 -8.673617379884035e-19 7.0 0.0
1.5 -38.527821861202646 0.0 0.32248741985 0.0016559816204494149 0.043229675038521036 2.168404344971009e-19 7.0 0.0
1.55 -39.74422571872158 0.0 0.3159123531 0.0016960029066950405 0.04082043563181443 -1.0842021724855044e-18 6.0 0.0
1.6 -40.962770057696176 -4.547473508864641e-13 0.32886499125 0.0027965859928468367 0.03861795039501971 -2.168404344971009e-19 6.0 0.0
1.65 -42.183255382771726 -2.2737367544323206e-13 0.31343867830000005 0.0017533095470589483 0.03659838199197486 -4.336808689942018e-19 6.0 0.0
1.7 -43.40550639115871 2.2737367544323206e-13 0.3168368442500001 0.0015787630263377345 0.03474132664225285 2.168404344971009e-19 6.0 0.0
1.75 -44.629368391646636 -4.547473508864641e-13 0.3269440829 0.003390195924946826 0.0330292235831149 2.168404344971009e-19 6.0 0.0
1.8 -45.85470434510881 9.094947017729282e-13 0.3120124299 0.0018360230407344635 0.03144688209612015 0.0 6.0 0.0
1.85 -47.08139240345007 0.0 0.31330787205 0.0016145422026321993 0.029981099616168107 1.0842021724855044e-19 6.0 0.0
1.9 -48.30932385123735 9.094947017729282e-13 0.316327113 0.0017223216191278035 0.02862035107347194 -1.0842021724855044e-19 6.0 0.0
1.95 -49.53840137476531 -4.547473508864641e-13 0.32606998675000004 0.0032037034574514817 0.027354534430859646 -2.168404344971009e-19 6.0 0.0
2.0 -50.76853759910968 0.0 0.31052179179999995 0.00164516085960148 0.026174760909473953 1.0842021724855044e-19 6.0 0.0
