Gamma, E, varE, T, varT, S, varS, dimension, vardimension 
0.0 -12.5 0.0 1.3665180832 19.209044672862355 0.0 0.0 1.0 0.0
0.05 -12.531269560615618 0.0 0.4903242251499999 0.007627540648131231 0.0034979901982234254 0.00011105459772250596 5.35 1.7275000000000063
0.1 -12.625315674796664 -2.842170943040401e-14 0.5469532254499998 0.00759209404590655 0.00034279525974701726 5.428727475413973e-7 7.25 2.6875
0.15 -12.78286893651055 5.684341886080802e-14 0.6605406552499999 0.01267533203889637 0.0018431342973773985 2.135705655922176e-5 10.3 1.7099999999999795
0.2 -13.005213577943328 8.526512829121202e-14 0.747358131 0.007567064300745163 0.0023836671536989875 5.082197683525802e-21 12.1 0.09000000000000341
0.25 -13.29430511994832 -1.1368683772161603e-13 1.1413462413500004 0.15161475981094164 0.0331817844491067 0.006192672752124061 18.65 35.52750000000009
0.3 -13.65298229439316 5.684341886080802e-14 1.4966504999499999 0.10619496223211478 0.044919811720636964 0.019746849699521726 24.75 22.387500000000045
0.35 -14.085358344187728 8.526512829121202e-14 2.0216928289500005 0.22052550192442855 0.03069239537166884 0.00043217544300953945 31.45 42.747499999999945
0.4 -14.597618863869508 2.842170943040401e-14 3.7332110264000002 0.14943739827197078 0.07905852719247689 0.013157859605839473 64.0 0.0
0.45 -15.20001249062073 1.0345502232667059e-11 5.05157222625 0.004522764522434386 0.1255366245604336 0.0003097702726432734 64.0 0.0
0.5 -15.918112451703312 1.7053025658242404e-13 5.1086400758499995 0.0027124647447323014 0.9397663768486604 1.4088232802578204e-9 64.0 0.0
0.55 -16.785883718429357 -5.684341886080802e-14 5.03119106015 0.003500298528152257 0.6587111182944897 1.1102230246251565e-16 64.0 0.0
0.6 -17.745242448793885 -2.8421709430404007e-13 4.9992344892 0.0047163551772833046 0.5067465683865022 -1.1102230246251565e-16 64.0 0.0
0.65 -18.760290580164888 2.8421709430404007e-13 4.8898009432 0.0046699217868706455 0.41678521692664267 0.0 64.0 0.0
0.7 -19.814853751659474 -1.7053025658242404e-13 4.6397998195 0.009607036536461777 0.35405261799553117 0.0 64.0 0.0
0.75 -20.8990777692293 1.7053025658242404e-13 3.7421707559499993 0.009756502463497796 0.30698251126903753 1.3877787807814457e-17 54.4 0.9400000000005093
0.8 -22.0063515275224 -5.684341886080802e-14 3.1672281997500003 0.01288253637446779 0.2700975828075214 1.3877787807814457e-17 45.15 0.42750000000023647
0.85 -23.131991701834977 2.2737367544323206e-13 2.7453164520500004 0.024524181209963913 0.2403298124327037 4.7156722970953524e-14 35.8 4.160000000000082
0.9 -24.272553804028206 2.2737367544323206e-13 2.5784178560499997 0.008260532656130692 0.21578000817489115 1.2455314557513475e-14 35.4 2.4400000000000546
0.95 -25.425431984086384 2.2737367544323206e-13 2.4529766552999996 0.01712663682356208 0.19519018108681085 6.245004513516506e-17 33.75 1.6875
1.0 -26.588610248912413 0.0 2.1129079398499995 0.01287177308909282 0.17768592586411572 2.2273849431542203e-15 29.2 3.3600000000000136
1.05 -27.760500003857807 0.0 1.9619278355000003 0.011476060667600763 0.16263674167927503 4.198030811863873e-16 28.35 1.3274999999998727
1.1 -28.939829883398158 -2.2737367544323206e-13 1.9460924146500003 0.009494039026942236 0.14957448377800672 3.469446951953614e-18 28.3 0.5099999999999909
1.15 -30.1255687592853 2.2737367544323206e-13 1.8513396915000002 0.005438850100763837 0.13814339561662 5.898059818321144e-17 26.85 0.4274999999998954
1.2 -31.316870569621763 -2.2737367544323206e-13 1.7515767267999998 0.00859305066652638 0.1280677962815525 6.245004513516506e-17 25.75 1.6875
1.25 -32.51303394473851 -6.821210263296962e-13 1.5720335667999998 0.012776749558925271 0.11913049712435717 5.377642775528102e-17 21.95 2.0475000000000705
1.3 -33.71347211885288 0.0 1.4786658846 0.012816519209557509 0.11115791072287493 4.190918445612368e-14 20.55 1.5475000000000136
1.35 -34.91769016313263 0.0 1.4669333740500001 0.010951875456913562 0.1040097592144048 2.2586099657218028e-14 20.65 1.6275000000000546
1.4 -36.12526748183096 2.2737367544323206e-13 1.3473391544 0.009209919303495129 0.09757116781294337 1.240327285323417e-14 20.05 0.8474999999999682
1.45 -37.33584423001029 -2.2737367544323206e-13 1.3295415115 0.013030264992524021 0.09174732540840691 1.3296655443362226e-14 19.9 1.2900000000000773
1.5 -38.549110627164254 2.2737367544323206e-13 1.3195831343 0.008554214912877445 0.08645930412141585 1.0881920364802511e-14 19.65 1.427500000000066
1.55 -39.76479846630923 6.821210263296962e-13 1.2606174611499998 0.006906571633677361 0.08164082479263625 8.045647481580431e-15 18.4 1.4400000000000546
1.6 -40.9826743116864 2.2737367544323206e-13 1.2101664126 0.010092295201840518 0.07723583021029155 7.266756640866845e-15 17.0 3.0
1.65 -42.20253400764648 -2.2737367544323206e-13 1.1586990092 0.012657912285587658 0.07319672236562266 3.874504883594199e-15 16.1 1.8899999999999864
1.7 -43.42419818230736 -2.2737367544323206e-13 1.1494936254500003 0.013947872061014888 0.0694826044793054 2.832803436270126e-15 15.1 0.9900000000000091
1.75 -44.64660157917113 1.5630670304744854e-5 1.0679967188500001 0.009352087425462452 0.06440693455590352 5.1818986627484055e-5 14.3 4.509999999999991
1.8 -45.872325060338106 0.0 1.07482630205 0.008284056873655965 0.06289371968893187 1.0460382560140147e-15 14.7 0.910000000000025
1.85 -47.09852298248716 4.547473508864641e-13 1.0828863161000002 0.009278740601413649 0.05996215797811255 5.611830444784971e-16 14.5 0.75
1.9 -48.32599118867202 -1.3642420526593924e-12 1.0529112616499998 0.007979316558422322 0.05724066212686665 1.7433970933566911e-16 14.2 0.36000000000001364
1.95 -49.55463018331537 4.547473508864641e-13 1.0447771844 0.007350639915069124 0.054709038085213844 1.6653345369377348e-16 14.3 0.5099999999999909
2.0 -50.78435064066985 1.3642420526593924e-12 1.0156334 0.009004391651548316 0.05234949367943518 4.2500725161431774e-17 14.1 0.18999999999999773
