Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.3678631171289767e-14  2.6515007126903104e-15
2  4.0  0.0  1.815481087211019  0.0027624061683936755
3  8.0  0.0  1.8154810872110219  0.0027624061683935363
4  16.0  0.0  3.650540212923546  0.004099975097544478
5  32.0  0.0  3.6505402129235494  0.004099975097545935
6  64.0  0.0  5.503229182662462  0.006436979637827249
7  128.0  0.0  5.503229182662468  0.006436979637826422
8  256.0  0.0  7.369365789068345  0.007132195044650489
9  512.0  0.0  7.369365789068351  0.007132195044650982
10  1024.0  0.0  9.246384058844932  0.005935492044769054
11  1024.0  0.0  9.246384058844939  0.005935492044770164
12  1023.9  0.30000000000000004  9.086266612777926  0.025315831460463067
13  1023.9  0.30000000000000004  9.086266612777928  0.025315831460464507
14  1023.9  0.30000000000000004  9.024698684959374  0.006019943270064014
15  1023.9  0.30000000000000004  9.024698684959375  0.006019943270064475
Numero de qubits: 26 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.9064569982200501  4.717402823143386e-15
2  4.0  0.0  0.906456998220054  6.597658541563253e-15
3  8.0  0.0  2.730020503721675  0.0038960021942004317
4  16.0  0.0  2.730020503721679  0.0038960021942002856
5  32.0  0.0  4.574555598252038  0.004886778695741726
6  64.0  0.0  4.5745555982520445  0.004886778695741056
7  128.0  0.0  6.433932764974711  0.004853392269000244
8  256.0  0.0  6.433932764974712  0.0048533922690000035
9  512.0  0.0  8.306041325321868  0.005460762679153173
10  1024.0  0.0  8.306041325321875  0.005460762679153743
11  2048.0  0.0  10.18979394394462  0.006436202087318285
12  4096.0  0.0  10.189793943944624  0.00643620208731776
13  8192.0  0.0  12.082411912458703  0.006438903407646978
14  8192.0  0.0  12.08241191245871  0.006438903407646186
15  8188.4  0.4898979485566356  12.05456066594644  0.015655138926352577
Numero de qubits: 27 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.906456998220049  2.237726045655905e-15
2  4.0  0.0  0.9064569982200485  8.779821694482259e-15
3  8.0  0.0  2.7298589698625673  0.003475905179736869
4  16.0  0.0  2.7298589698625735  0.0034759051797364714
5  32.0  0.0  4.57473829781931  0.0048651224700660255
6  64.0  0.0  4.574738297819315  0.004865122470065948
7  128.0  0.0  6.4360763451126015  0.006783054220517765
8  256.0  0.0  6.436076345112608  0.006783054220516866
9  512.0  0.0  8.309094639339014  0.00599914708242903
10  1024.0  0.0  8.30909463933902  0.005999147082427901
11  2048.0  0.0  10.192021181137143  0.006138247055288179
12  4096.0  0.0  10.192021181137147  0.006138247055287798
13  8192.0  0.0  12.082489540717557  0.005394799878529855
14  8192.0  0.0  12.082489540717564  0.005394799878530344
15  8192.0  0.0  12.460663970376089  0.017644898192476825
Numero de qubits: 28 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.665781781983767e-14  3.7957562720679435e-15
2  4.0  0.0  1.8150683679689483  0.003070793477010262
3  8.0  0.0  1.8150683679689572  0.0030707934770103536
4  16.0  0.0  3.652244033645509  0.005425585708619952
5  32.0  0.0  3.6522440336455175  0.0054255857086208175
6  64.0  0.0  5.505447424315319  0.006273997795103925
7  128.0  0.0  5.505447424315324  0.006273997795103066
8  256.0  0.0  7.371609021411241  0.0054712747457619955
9  512.0  0.0  7.3716090214112455  0.005471274745761577
10  1024.0  0.0  9.248180722091746  0.006584364331710508
11  2048.0  0.0  9.24818072209175  0.006584364331709645
12  4096.0  0.0  11.135139073313196  0.005967438248362165
13  8192.0  0.0  11.135139073313201  0.005967438248362184
14  16384.0  0.0  13.029179348358747  0.005042198461190778
15  16384.0  0.0  13.029179348358753  0.0050421984611910935
