Numero de qubits: 15 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.9064569982200414  3.1306517611815063e-15
2  4.0  0.0  0.9064569982200446  5.680665251691849e-15
3  8.0  0.0  2.729887175511009  0.00378679778191738
4  16.0  0.0  2.7298871755110117  0.00378679778191658
5  32.0  0.0  4.5750262081909145  0.004521308319532102
6  64.0  0.0  4.57502620819092  0.004521308319531307
7  128.0  0.0  6.43519209724258  0.005087075759910799
8  128.0  0.0  6.435192097242587  0.005087075759912014
9  128.0  0.0  6.574317896947806  0.02469359281769848
10  128.0  0.0  6.5743178969478135  0.024693592817699755
11  128.0  0.0  6.459734207231753  0.007354705676206411
12  128.0  0.0  6.459734207231756  0.007354705676206687
13  128.0  0.0  6.428118152729799  0.0051563728171392965
14  128.0  0.0  6.4281181527298035  0.0051563728171384595
15  128.0  0.0  6.41917627407207  0.006012471792481792
Numero de qubits: 16 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.098775290808521e-14  1.848851716281242e-15
2  4.0  0.0  1.8147769575010084  0.0022850008067730656
3  8.0  0.0  1.814776957501012  0.0022850008067709505
4  16.0  0.0  3.649617022475914  0.003603130101093412
5  32.0  0.0  3.649617022475917  0.003603130101092982
6  64.0  0.0  5.501947695592106  0.0055032880486251615
7  128.0  0.0  5.50194769559211  0.005503288048625308
8  256.0  0.0  7.368675049108065  0.005663994497689263
9  256.0  0.0  7.368675049108068  0.005663994497689868
10  256.0  0.0  7.120803983690465  0.016126200477761927
11  256.0  0.0  7.120803983690467  0.01612620047776119
12  256.0  0.0  7.031411272649853  0.0063894702206003795
13  256.0  0.0  7.031411272649858  0.006389470220600198
14  256.0  0.0  7.009681405206339  0.0031644694340052805
15  256.0  0.0  7.009681405206344  0.0031644694340049423
Numero de qubits: 17 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.0122827752055178e-14  3.2136611193593846e-15
2  4.0  0.0  1.8156458280965229  0.00325407393078882
3  8.0  0.0  1.815645828096525  0.003254073930788897
4  16.0  0.0  3.651352086351371  0.005967979090641046
5  32.0  0.0  3.651352086351374  0.005967979090640124
6  64.0  0.0  5.5041484039518505  0.006915920425983405
7  128.0  0.0  5.504148403951852  0.006915920425983308
8  256.0  0.0  7.37031063838265  0.007106086911976017
9  256.0  0.0  7.370310638382652  0.0071060869119765535
10  256.0  0.0  7.546988500462765  0.019370752507283217
11  256.0  0.0  7.546988500462769  0.019370752507283144
12  256.0  0.0  7.452071357378176  0.009580329748885893
13  256.0  0.0  7.452071357378179  0.009580329748886689
14  256.0  0.0  7.426167084662316  0.003049786666475946
15  256.0  0.0  7.426167084662319  0.003049786666476667
Numero de qubits: 18 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.9064569982200446  3.257137789541333e-15
2  4.0  0.0  0.9064569982200489  6.4144090051629544e-15
3  8.0  0.0  2.7300001905894993  0.003526562369810377
4  16.0  0.0  2.730000190589504  0.0035265623698091525
5  32.0  0.0  4.575257069084897  0.0036370434296362276
6  64.0  0.0  4.575257069084901  0.00363704342963557
7  128.0  0.0  6.434714906570976  0.0051122689420492
8  256.0  0.0  6.434714906570977  0.005112268942049473
9  512.0  0.0  8.30708246641341  0.004711527091675957
10  512.0  0.0  8.30708246641341  0.004711527091675421
11  512.0  0.0  8.101835435863931  0.013522054621059857
12  512.0  0.0  8.101835435863938  0.013522054621059078
13  512.0  0.0  8.028903395936767  0.006530836386579806
14  512.0  0.0  8.028903395936771  0.006530836386580027
15  512.0  0.0  8.008272551929208  0.002016088427773403
Numero de qubits: 19 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.906456998220046  2.784093154220714e-15
2  4.0  0.0  0.906456998220051  6.478700728817459e-15
3  8.0  0.0  2.7301998205136924  0.002763697225159654
4  16.0  0.0  2.7301998205136964  0.0027636972251614176
5  32.0  0.0  4.57340348033204  0.0031131092777501044
6  64.0  0.0  4.573403480332045  0.003113109277750183
7  128.0  0.0  6.433270058741161  0.0039059626730224375
8  256.0  0.0  6.433270058741163  0.0039059626730228087
9  512.0  0.0  8.307446643060953  0.003800714151468898
10  512.0  0.0  8.307446643060956  0.003800714151469874
11  512.0  0.0  8.530439385399518  0.018425591264991624
12  512.0  0.0  8.53043938539952  0.018425591264991492
13  512.0  0.0  8.452491114014366  0.005474018773965138
14  512.0  0.0  8.45249111401437  0.005474018773965679
15  512.0  0.0  8.424995227992149  0.0029739809514286847
Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.3838802496480515e-14  2.788269495293573e-15
2  4.0  0.0  1.8139907708204226  0.0016854736444495814
3  8.0  0.0  1.8139907708204273  0.0016854736444492672
4  16.0  0.0  3.65012881338012  0.005286350620955031
5  32.0  0.0  3.6501288133801233  0.0052863506209552494
6  64.0  0.0  5.502188673216301  0.005638573586965587
7  128.0  0.0  5.502188673216304  0.005638573586964936
8  256.0  0.0  7.369217113595329  0.00648153349246108
9  512.0  0.0  7.369217113595333  0.006481533492459564
10  1024.0  0.0  9.246251713693947  0.0059709553999776205
11  1024.0  0.0  9.246251713693953  0.005970955399977414
12  1023.9  0.2999999999999999  9.098270517784178  0.015340200235672504
13  1023.9  0.2999999999999999  9.09827051778418  0.015340200235671923
14  1023.85  0.35707142142714254  9.024518187917625  0.0075303234467145805
15  1023.85  0.35707142142714254  9.024518187917627  0.00753032344671581
