Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.3646596906251613e-14  2.763872130248093e-15
2  4.0  0.0  1.8145310466974727  0.0023777008406397583
3  8.0  0.0  1.8145310466974796  0.0023777008406385474
4  16.0  0.0  3.6499869506022216  0.004740710168063375
5  32.0  0.0  3.6499869506022264  0.004740710168064068
6  64.0  0.0  5.502630269630506  0.006262657170304444
7  128.0  0.0  5.50263026963051  0.006262657170305219
8  256.0  0.0  7.3689654205404524  0.005264594018668483
9  512.0  0.0  7.368965420540455  0.005264594018669319
10  1024.0  0.0  9.24684069466841  0.00476175792439268
11  1024.0  0.0  9.246840694668416  0.004761757924391529
12  1023.95  0.21794494717703372  9.092920326468477  0.018368563635118396
13  1023.95  0.21794494717703372  9.092920326468478  0.018368563635119066
14  1023.9  0.3  9.025512266269214  0.007174660543838531
15  1023.9  0.3  9.025512266269219  0.007174660543839294
16  1023.9  0.3  9.008500043412072  0.0011862185230420849
17  1023.9  0.3  9.008500043412074  0.001186218523042297
18  1023.9  0.3  9.002389953694031  0.0009154931334930924
Numero de qubits: 21 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.2493363364878243e-14  4.352418150916237e-15
2  4.0  0.0  1.8163842126101895  0.003586136220684504
3  8.0  0.0  1.816384212610195  0.0035861362206848187
4  16.0  0.0  3.6527237470560947  0.005596815522845864
5  32.0  0.0  3.6527237470560996  0.005596815522845319
6  64.0  0.0  5.504771880036504  0.006301416512415508
7  128.0  0.0  5.5047718800365075  0.006301416512414703
8  256.0  0.0  7.371393389380261  0.006072317870126538
9  512.0  0.0  7.371393389380264  0.006072317870126256
10  1024.0  0.0  9.248142874545831  0.004991449564595859
11  1024.0  0.0  9.248142874545835  0.004991449564596209
12  1024.0  0.0  9.510566845293456  0.018063313904152375
13  1024.0  0.0  9.51056684529346  0.018063313904151942
14  1024.0  0.0  9.44747115883044  0.0058838469808167315
15  1024.0  0.0  9.447471158830442  0.0058838469808171045
16  1024.0  0.0  9.42512342124735  0.0018529581572344716
17  1024.0  0.0  9.425123421247353  0.0018529581572350989
18  1024.0  0.0  9.418293262654476  0.0005786349644373612
