Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.2813706015259857e-16  2.3064670827467402e-15
2  2.0  0.0  0.38405733356063687  0.3662689429460506
3  4.0  0.0  0.38405733356063393  0.36626894294604967
4  4.0  0.0  1.0029920620205706  0.31858514551832956
5  8.0  0.0  1.0029920620205677  0.31858514551833234
6  8.0  0.0  1.7974991922922183  0.3474241837394062
7  16.0  0.0  1.7974991922922157  0.34742418373940653
8  16.0  0.0  2.439130025106023  0.3962227638775828
9  32.0  0.0  2.4391300251060217  0.3962227638775813
10  32.0  0.0  3.323570214384752  0.37940767109383244
11  57.6  12.800000000000002  3.3235702143847496  0.3794076710938315
12  64.0  0.0  3.9030905249768835  0.3741113327917352
13  115.2  25.600000000000005  3.903090524976882  0.37411133279173314
14  128.0  0.0  4.568477667876946  0.26423273987876517
15  204.8  62.70693741524936  4.568477667878729  0.2642327398758006
16  255.8  0.4  5.26009662192898  0.3378188178313311
17  408.2  124.27453480098005  5.260096621929533  0.33781881783211354
18  409.4  125.25110777953225  5.773541210449696  0.4214721935256742
19  511.8  0.4  5.773541210454032  0.42147219352790016
20  639.2  103.85836509400676  6.319396711359152  0.35251476860448033
21  639.2  103.85836509400676  6.319396711359148  0.35251476860448056
22  724.0  0.0  6.760695927638759  0.3389139402302313
23  724.0  0.0  6.760695927638759  0.33891394023023086
24  724.0  0.0  7.360201830130256  0.26377812805663203
25  724.0  0.0  7.360201830130255  0.2637781280566337
26  724.0  0.0  7.868906727810417  0.22368428241775282
27  724.0  0.0  7.868906727810419  0.22368428241775407
28  724.0  0.0  8.19253967869555  0.1804003972698792
29  724.0  0.0  8.192539678695551  0.18040039726988108
30  724.0  0.0  8.455347272929512  0.0948566195447174
