Numero de qubits: 20 
Layer   Error var(error)
1  5.897587001778813e-9  3.75275055689615e-9
2  6.564843380316204e-9  2.499388414998471e-9
3  8.564452050234247e-9  3.082487097482794e-9
4  4.3090248403117e-9  1.3962257245184718e-9
5  6.950754883530743e-9  3.370674358845171e-9
6  7.486641452532022e-9  3.977551818221671e-9
7  7.946823458211623e-9  2.2605935228613413e-9
8  5.7651940725902046e-9  5.255324879274247e-9
9  9.814597399652408e-9  2.7132622104088137e-9
10  7.069478407831744e-9  3.3721894055193026e-9
11  5.9485557423991266e-9  2.8536416872644947e-9
12  7.701917799441691e-9  1.1885893416202174e-9
13  5.693941686945657e-9  1.5215300229522427e-9
14  6.48814252355305e-9  1.9718054478097637e-9
15  3.6598218474296434e-9  9.81693584719852e-10
16  3.7335663508888805e-9  1.828889589673964e-9
17  7.312262382281202e-9  2.4262593670305144e-9
18  4.466590706172618e-9  1.5235798567523853e-9
19  5.612248167904306e-9  1.3546809189684546e-9
20  6.0905709483475854e-9  1.3293517765308478e-9
21  4.236143330315068e-9  1.7535435356979157e-9
22  5.248727941430292e-9  2.637889870575235e-9
23  4.112762112415533e-9  1.9021585006530755e-9
24  5.743243687085267e-9  2.4182097487508733e-9
25  3.883692653116966e-9  2.771312903481209e-9
26  5.246379624805256e-9  2.718744992270071e-9
27  3.4719332230441954e-9  1.860039989031516e-9
28  5.3670445099154854e-9  1.0396153825101613e-9
29  4.445015023499544e-9  3.5540410351118286e-9
30  6.6756827060134255e-9  1.8156184505870717e-9
