Numero de qubits: 50 
Dimension max: dim 
Threads (LinearAlgebra) :15
Threads (Julia) :1


After sweep 1 energy=-12.499880013179652  maxlinkdim=32 maxerr=1.19E-09 time=12.852
After sweep 1 energy=-12.499999998387725  maxlinkdim=32 maxerr=2.38E-12 time=0.099
After sweep 1 energy=-12.50000000000006  maxlinkdim=3 maxerr=9.97E-16 time=0.296
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.22E-24 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.75E-81 time=0.021
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.75E-81 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.75E-81 time=0.016
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.75E-81 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.75E-81 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.75E-81 time=0.012
After sweep 1 energy=-12.499990192969223  maxlinkdim=32 maxerr=6.14E-11 time=0.320
After sweep 1 energy=-12.499999999957774  maxlinkdim=22 maxerr=7.48E-14 time=0.073
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=8.47E-16 time=0.016
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.18E-98 time=0.011
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.18E-98 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.18E-98 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.18E-98 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.18E-98 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.18E-98 time=0.014
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.18E-98 time=0.010
After sweep 1 energy=-12.49999100166753  maxlinkdim=32 maxerr=5.91E-11 time=0.083
After sweep 1 energy=-12.499999999851369  maxlinkdim=17 maxerr=5.73E-15 time=0.060
After sweep 1 energy=-12.500000000000007  maxlinkdim=1 maxerr=6.64E-16 time=0.017
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.25E-89 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=6.21E-91 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=6.21E-91 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=6.21E-91 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=6.21E-91 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=6.21E-91 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=6.21E-91 time=0.011
After sweep 1 energy=-12.499968710457983  maxlinkdim=32 maxerr=2.18E-10 time=0.081
After sweep 1 energy=-12.499999999653944  maxlinkdim=24 maxerr=4.00E-13 time=0.072
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.49E-16 time=0.021
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.92E-93 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.86E-106 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.86E-106 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.86E-106 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.86E-106 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.86E-106 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.86E-106 time=0.010
After sweep 1 energy=-12.499962186220237  maxlinkdim=32 maxerr=9.64E-11 time=0.087
After sweep 1 energy=-12.499999999985484  maxlinkdim=17 maxerr=9.81E-15 time=0.049
After sweep 1 energy=-12.499999999999998  maxlinkdim=1 maxerr=6.64E-16 time=0.017
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=5.51E-84 time=0.011
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.79E-94 time=0.011
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.79E-94 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.79E-94 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.79E-94 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.79E-94 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.79E-94 time=0.010
After sweep 1 energy=-12.499985947380654  maxlinkdim=32 maxerr=2.40E-11 time=0.083
After sweep 1 energy=-12.499999999980563  maxlinkdim=15 maxerr=2.52E-15 time=0.053
After sweep 1 energy=-12.500000000000005  maxlinkdim=1 maxerr=9.90E-16 time=0.017
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.97E-77 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.71E-93 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.71E-93 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.71E-93 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.71E-93 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.71E-93 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.71E-93 time=0.010
After sweep 1 energy=-12.49998725984726  maxlinkdim=32 maxerr=4.84E-11 time=0.082
After sweep 1 energy=-12.499999999999241  maxlinkdim=17 maxerr=1.53E-14 time=0.051
After sweep 1 energy=-12.500000000000002  maxlinkdim=1 maxerr=2.00E-16 time=0.017
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.90E-88 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.90E-88 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.90E-88 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.90E-88 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.90E-88 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.90E-88 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.90E-88 time=0.013
After sweep 1 energy=-12.499988934560442  maxlinkdim=32 maxerr=1.30E-10 time=0.084
After sweep 1 energy=-12.499999999989619  maxlinkdim=15 maxerr=1.75E-15 time=0.050
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=8.73E-16 time=0.015
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.45E-125 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.45E-125 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.45E-125 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.45E-125 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.45E-125 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.45E-125 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.45E-125 time=0.010
After sweep 1 energy=-12.499987973094989  maxlinkdim=32 maxerr=1.22E-10 time=0.130
After sweep 1 energy=-12.499999999907951  maxlinkdim=21 maxerr=2.35E-14 time=0.215
After sweep 1 energy=-12.50000000000001  maxlinkdim=1 maxerr=9.47E-16 time=0.022
After sweep 1 energy=-12.500000000000002  maxlinkdim=1 maxerr=5.47E-61 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.92E-62 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.19E-62 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.49E-88 time=0.009
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.49E-88 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.49E-88 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.49E-88 time=0.009
After sweep 1 energy=-12.499986466812063  maxlinkdim=32 maxerr=2.08E-11 time=0.101
After sweep 1 energy=-12.499999999995815  maxlinkdim=15 maxerr=1.34E-14 time=0.053
After sweep 1 energy=-12.499999999999998  maxlinkdim=1 maxerr=7.65E-16 time=0.018
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.73E-88 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.73E-88 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.73E-88 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.73E-88 time=0.014
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.73E-88 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.73E-88 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.73E-88 time=0.014
After sweep 1 energy=-12.499993040900588  maxlinkdim=32 maxerr=1.38E-11 time=0.082
After sweep 1 energy=-12.499999999916591  maxlinkdim=14 maxerr=1.30E-14 time=0.050
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.55E-16 time=0.017
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.23E-118 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.23E-118 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.23E-118 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.23E-118 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.23E-118 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.23E-118 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.23E-118 time=0.012
After sweep 1 energy=-12.499986222203963  maxlinkdim=32 maxerr=7.02E-11 time=0.082
After sweep 1 energy=-12.49999999992582  maxlinkdim=21 maxerr=1.72E-13 time=0.057
After sweep 1 energy=-12.500000000000002  maxlinkdim=1 maxerr=9.96E-16 time=0.016
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.23E-60 time=0.012
