Numero de qubits: 50 
Dimension max: 64 
p= 6 
After sweep 1 energy=-12.499998987700184  maxlinkdim=63 maxerr=9.92E-16 time=11.991
After sweep 1 energy=-12.499999999999892  maxlinkdim=11 maxerr=9.96E-16 time=0.506
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.75E-17 time=0.014
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.49E-96 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.49E-96 time=0.026
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.49E-96 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.49E-96 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.49E-96 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.49E-96 time=0.019
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.49E-96 time=0.010
After sweep 1 energy=-12.499999146545143  maxlinkdim=64 maxerr=9.94E-16 time=0.152
After sweep 1 energy=-12.499999999999968  maxlinkdim=10 maxerr=9.95E-16 time=0.065
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.94E-18 time=0.015
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.96E-96 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.96E-96 time=0.011
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.96E-96 time=0.011
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.96E-96 time=0.011
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.96E-96 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.96E-96 time=0.011
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.96E-96 time=0.011
After sweep 1 energy=-12.499998468568768  maxlinkdim=64 maxerr=9.95E-16 time=0.129
After sweep 1 energy=-12.499999999999797  maxlinkdim=8 maxerr=9.86E-16 time=0.059
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.32E-18 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.97E-95 time=0.011
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.97E-95 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.97E-95 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.97E-95 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.97E-95 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.97E-95 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.97E-95 time=0.010
After sweep 1 energy=-12.499996178155774  maxlinkdim=64 maxerr=9.71E-16 time=0.134
After sweep 1 energy=-12.499999999999698  maxlinkdim=16 maxerr=9.89E-16 time=0.235
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.78E-17 time=0.015
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.61E-112 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.61E-112 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.61E-112 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.61E-112 time=0.020
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.61E-112 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.61E-112 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.61E-112 time=0.011
After sweep 1 energy=-12.499996653928779  maxlinkdim=64 maxerr=9.85E-16 time=0.155
After sweep 1 energy=-12.499999999973642  maxlinkdim=9 maxerr=9.95E-16 time=0.063
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.38E-16 time=0.017
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.20E-94 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.20E-94 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.20E-94 time=0.016
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.20E-94 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.20E-94 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.20E-94 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.20E-94 time=0.010
After sweep 1 energy=-12.499999024997033  maxlinkdim=64 maxerr=9.85E-16 time=0.129
