Numero de qubits: 15 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.9064569982200414  3.1451856053268217e-15
2  4.0  0.0  0.9064569982200451  6.913400761931717e-15
3  8.0  0.0  2.730713024391364  0.0035287826225990433
4  16.0  0.0  2.7307130243913664  0.0035287826225981864
5  32.0  0.0  4.5750403758917795  0.0053616562521571435
6  64.0  0.0  4.575040375891781  0.005361656252157817
7  128.0  0.0  6.434188688773242  0.004563461921997496
8  128.0  0.0  6.4341886887732445  0.004563461921996581
9  128.0  0.0  6.568511531142637  0.019871744618210712
10  128.0  0.0  6.56851153114264  0.01987174461821133
11  128.0  0.0  6.45975881407922  0.008216885051741039
12  128.0  0.0  6.459758814079223  0.008216885051741174
13  128.0  0.0  6.429204791044404  0.005779713618059466
14  128.0  0.0  6.429204791044407  0.005779713618059399
15  128.0  0.0  6.419813823726059  0.0037005341520281636
Numero de qubits: 16 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.095571864304706e-14  2.4805362409487715e-15
2  4.0  0.0  1.814409173293366  0.002140720960604622
3  8.0  0.0  1.8144091732933685  0.0021407209606038665
4  16.0  0.0  3.6505362136220554  0.003980529999423211
5  32.0  0.0  3.650536213622061  0.003980529999423775
6  64.0  0.0  5.5026063771360665  0.005313738591144114
7  128.0  0.0  5.502606377136068  0.005313738591143586
8  256.0  0.0  7.368811970492503  0.007171429340737933
9  256.0  0.0  7.368811970492504  0.007171429340738076
10  256.0  0.0  7.123116981181956  0.0121208912610426
11  256.0  0.0  7.12311698118196  0.012120891261042061
12  256.0  0.0  7.031009339793394  0.01084310544886188
13  256.0  0.0  7.031009339793397  0.01084310544886162
14  256.0  0.0  7.010285088755023  0.0033508190240429513
15  256.0  0.0  7.010285088755028  0.0033508190240426907
Numero de qubits: 17 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.105182143816151e-14  3.247174887943514e-15
2  4.0  0.0  1.8154643196634386  0.0032589025509390983
3  8.0  0.0  1.8154643196634417  0.0032589025509388862
4  16.0  0.0  3.6511269024015744  0.004052180616466052
5  32.0  0.0  3.65112690240158  0.004052180616465466
6  64.0  0.0  5.50396286474024  0.004714040930474789
7  128.0  0.0  5.503962864740245  0.004714040930475498
8  256.0  0.0  7.371466070930621  0.006401834609343788
9  256.0  0.0  7.371466070930626  0.006401834609343788
10  256.0  0.0  7.546781096800908  0.020174341900552936
11  256.0  0.0  7.546781096800911  0.020174341900554848
12  256.0  0.0  7.457018938379667  0.006813464519786059
13  256.0  0.0  7.457018938379671  0.006813464519786738
14  256.0  0.0  7.426673600252883  0.002324188480818471
15  256.0  0.0  7.4266736002528875  0.0023241884808197404
Numero de qubits: 18 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.9064569982200428  3.088635665619111e-15
2  4.0  0.0  0.906456998220046  4.994152896317098e-15
3  8.0  0.0  2.7297646540705283  0.0036818741594849226
4  16.0  0.0  2.729764654070533  0.003681874159485577
5  32.0  0.0  4.574027504229747  0.0050346145458561725
6  64.0  0.0  4.5740275042297505  0.005034614545856803
7  128.0  0.0  6.4329209878347005  0.00423313806546451
8  256.0  0.0  6.432920987834704  0.004233138065465281
9  512.0  0.0  8.305947461782434  0.004952030402536778
10  512.0  0.0  8.305947461782438  0.004952030402536264
11  512.0  0.0  8.108885528553518  0.020987803455733395
12  512.0  0.0  8.108885528553525  0.020987803455733506
13  511.95  0.21794494717703372  8.030026149544947  0.008479210461210862
14  511.95  0.21794494717703372  8.03002614954495  0.008479210461211953
15  512.0  0.0  8.008310558341375  0.002341454168340887
Numero de qubits: 19 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.9064569982200428  3.3346449999520558e-15
2  4.0  0.0  0.906456998220046  7.933939907205215e-15
3  8.0  0.0  2.7306939982579364  0.0043839527310831055
4  16.0  0.0  2.730693998257941  0.004383952731083119
5  32.0  0.0  4.572999433061769  0.004618281879572867
6  64.0  0.0  4.5729994330617725  0.004618281879573492
7  128.0  0.0  6.4346740175877954  0.004506649522383796
8  256.0  0.0  6.434674017587798  0.004506649522384768
9  512.0  0.0  8.307674330605312  0.005869769208341489
10  512.0  0.0  8.307674330605318  0.005869769208341926
11  512.0  0.0  8.53921830915193  0.01780758063651449
12  512.0  0.0  8.539218309151936  0.01780758063651267
13  512.0  0.0  8.452771480386307  0.008190106880448987
14  512.0  0.0  8.452771480386312  0.008190106880450307
15  512.0  0.0  8.425864387494148  0.0016909321182425456
Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.339032278594642e-14  2.8066111579693575e-15
2  4.0  0.0  1.8150043775183449  0.002520771779911098
3  8.0  0.0  1.8150043775183498  0.002520771779912225
4  16.0  0.0  3.6497914125549533  0.0046069561393706675
5  32.0  0.0  3.64979141255496  0.004606956139369312
6  64.0  0.0  5.503316140878562  0.006988433534202733
7  128.0  0.0  5.5033161408785665  0.006988433534201729
8  256.0  0.0  7.371362388343501  0.007882756613591228
9  512.0  0.0  7.371362388343504  0.007882756613590976
10  1024.0  0.0  9.248377488804474  0.007241751166246004
11  1024.0  0.0  9.248377488804477  0.007241751166245557
12  1024.0  0.0  9.097547294521917  0.015520134342010805
13  1024.0  0.0  9.097547294521922  0.015520134342011223
14  1023.85  0.3570714214271425  9.027067636393213  0.005054002008626512
15  1023.85  0.3570714214271425  9.027067636393216  0.00505400200862808
