Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.2973877340450477e-14  2.505030368061013e-15
2  4.0  0.0  1.8147222360975586  0.002526201907406348
3  8.0  0.0  1.8147222360975643  0.002526201907405983
4  16.0  0.0  3.6506703435644967  0.004243275850976356
5  32.0  0.0  3.6506703435644994  0.004243275850974289
6  64.0  0.0  5.503483257274761  0.005611109599127377
7  128.0  0.0  5.503483257274766  0.005611109599128421
8  256.0  0.0  7.369695077440431  0.007257058145909614
9  512.0  0.0  7.3696950774404355  0.007257058145908904
10  1024.0  0.0  9.248234187584233  0.007278646406702864
11  1024.0  0.0  9.248234187584238  0.007278646406703866
12  1023.9  0.3  9.096880180880254  0.014663715355391715
13  1023.9  0.3  9.096880180880259  0.014663715355391337
14  1023.85  0.3570714214271425  9.025753624761336  0.008087366074585085
15  1023.85  0.3570714214271425  9.025753624761345  0.008087366074584814
16  1023.95  0.21794494717703375  9.00824887799072  0.0014113636569742048
17  1023.95  0.21794494717703375  9.008248877990724  0.0014113636569748544
18  1023.7  0.45825756949558405  9.002538561868555  0.0013459179230757255
19  1023.7  0.45825756949558405  9.002538561868558  0.0013459179230759673
20  1023.9  0.29999999999999993  9.001194297949441  0.0009198778305690754
21  1023.9  0.29999999999999993  9.001194297949446  0.0009198778305693799
22  1023.9  0.3  9.000503986082983  0.0009829836811208973
23  1023.9  0.3  9.000503986082986  0.000982983681121915
Numero de qubits: 21 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.3326254255870121e-14  3.2136611193593905e-15
2  4.0  0.0  1.8139480214768227  0.000945116954699579
3  8.0  0.0  1.8139480214768269  0.0009451169546993597
4  16.0  0.0  3.65230458798516  0.003526373652644797
5  32.0  0.0  3.6523045879851637  0.003526373652645017
6  64.0  0.0  5.505048131655656  0.004823945297256352
7  128.0  0.0  5.505048131655661  0.004823945297256621
8  256.0  0.0  7.37122381458615  0.006018722776242197
9  512.0  0.0  7.371223814586155  0.006018722776242145
10  1024.0  0.0  9.247963583193188  0.005343641992110887
11  1024.0  0.0  9.247963583193195  0.005343641992111413
12  1024.0  0.0  9.51378076080129  0.017125943332838598
13  1024.0  0.0  9.513780760801293  0.017125943332838577
14  1024.0  0.0  9.446291266844545  0.0056276942278701255
15  1024.0  0.0  9.446291266844552  0.0056276942278694715
16  1024.0  0.0  9.424975817915955  0.0017040239283322605
17  1024.0  0.0  9.42497581791596  0.0017040239283338831
18  1024.0  0.0  9.417860824097957  0.0006751239953596829
19  1024.0  0.0  9.41786082409796  0.0006751239953596118
20  1024.0  0.0  9.416037252764418  0.0006156738930641998
21  1024.0  0.0  9.416037252764422  0.0006156738930626924
22  1024.0  0.0  9.415299886119737  0.00034932138255180673
23  1024.0  0.0  9.415299886119739  0.00034932138255304657
