Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  -1.2813706015259643e-15  2.7926824806378053e-15
2  2.0  0.0  0.5634290305892506  0.3589834911334925
3  3.9  0.43588989435406744  0.5634290305892484  0.358983491133494
4  4.0  0.0  1.2493032176295922  0.39607063355701033
5  7.6  1.2  1.2493032176380194  0.39607063355402766
6  8.0  0.0  1.8691231422964036  0.41472087742739566
7  15.2  2.4  1.8691231422964045  0.4147208774273945
8  16.0  0.0  2.5505096356171646  0.3394492742755079
9  30.4  4.8  2.55050963564229  0.3394492742887591
10  32.0  0.0  3.1963030502838436  0.35953864241800887
11  59.2  11.42628548566856  3.1963030502838428  0.3595386424180095
12  64.0  0.0  3.7934592775855336  0.3753195145890592
13  118.35  22.832597311738315  3.793459277594166  0.3753195145830382
14  128.0  0.0  4.53773893517643  0.3323421829021592
15  215.2  57.89697746860365  4.537738935176938  0.33234218290216067
16  255.95  0.21794494717703372  5.245316893429864  0.35378156862376414
17  415.95  107.35430825076374  5.245316893430396  0.3537815686240282
18  486.4  76.8  5.892992210778393  0.3785119120209949
19  511.95  0.21794494717703372  5.892992210779434  0.378511912021105
20  512.0  0.0  6.4668740577521735  0.3430091478177397
21  512.0  0.0  6.4668740577521735  0.3430091478177402
22  512.0  0.0  7.062818149707856  0.28167708074780234
23  512.0  0.0  7.062818149707856  0.2816770807478011
24  512.0  0.0  7.613358495850105  0.22306116769216605
25  512.0  0.0  7.613358495850102  0.2230611676921681
26  512.0  0.0  7.967285131295689  0.16612028445904706
27  512.0  0.0  7.967285131295688  0.16612028445904747
28  512.0  0.0  8.319397956037006  0.15683072798398848
29  512.0  0.0  8.319397956037008  0.15683072798398953
30  512.0  0.0  8.616890362955504  0.13658587482996876
