Numero de qubits: 20 
Layer   Error var(error)
1  4.579802953870195e-9  2.5956873227135823e-9
2  5.201851366492905e-9  2.664600968032733e-9
3  5.955225307843727e-9  2.4062464433482723e-9
4  5.581684187017968e-9  1.8706502208322455e-9
5  7.165633202162969e-9  3.940343791816692e-9
6  7.161620824029524e-9  3.8825346090985265e-9
7  6.526034424920904e-9  4.117160990182258e-9
8  6.671907331508132e-9  3.227106062289911e-9
9  8.182417130228545e-9  3.676979506802967e-9
10  5.913917981207725e-9  3.116570136141292e-9
11  7.079248460019118e-9  2.274041309485857e-9
12  7.913734174982202e-9  2.863158109503809e-9
13  5.8230950256940256e-9  2.3922256428482225e-9
14  6.215682248304244e-9  2.633876827223038e-9
15  5.851146559705253e-9  2.3772303708770715e-9
16  5.54491809512106e-9  2.3051231059986643e-9
17  0.006323891775754431  0.009145143489668895
18  0.018811748545401942  0.018524237398052444
19  0.06160548197582003  0.02912246917529191
20  0.10158026470323514  0.041965509293807775
21  0.1696934276321746  0.048924776972302596
22  0.21834523530695  0.05533763035673451
23  0.30252524944688314  0.05205738668686351
24  0.3543576410607222  0.05907158019138175
25  0.43659066713954814  0.04961604154872936
26  0.4832513384731554  0.053291923352075846
27  0.5519840307367686  0.04503394644546983
28  0.5915948744632967  0.04276454507902891
29  0.6438491054454367  0.03723124679994198
30  0.6745330580468841  0.03482055853738121
