Numero de qubits: 20 
Layer   Error var(error)
1  6.521411001139231e-9  1.7108369148452613e-9
2  5.376905306447256e-9  8.462803058308571e-10
3  3.4251552089879625e-9  1.1519143566780118e-9
4  3.274823116702803e-9  9.30537004017342e-10
5  7.098075215985324e-9  4.9044069847334664e-9
6  6.001341184162801e-9  2.850587877247196e-9
7  6.914898812258899e-9  4.488537009936651e-9
8  7.2618810516150165e-9  4.474573364746857e-9
9  7.548737512565172e-9  2.1757013417558046e-9
10  6.8788056740488254e-9  2.4801190009438313e-9
11  6.111825297161093e-9  1.5299388569558495e-9
12  9.126699753611364e-9  3.159433697806723e-9
13  6.550428639120635e-9  2.685039089764268e-9
14  8.234736641416944e-9  2.317887326378896e-9
15  5.001483229288341e-9  2.2789826369319843e-9
16  5.058223674619276e-9  1.7597425481760446e-9
17  6.681101328220054e-9  3.4318463583358592e-9
18  5.244468838359374e-9  2.3567271371019116e-9
19  3.655951865057383e-9  9.822299091354238e-10
20  0.0011072895770486543  0.001792054343767811
21  0.001107291003778071  0.0017920534622735413
22  0.008109571991466221  0.0032375390748841278
23  0.008109571991457402  0.0032375390748787844
24  0.029034498972604895  0.007395502688224639
25  0.029034498972606005  0.007395502688224802
26  0.061549655165031955  0.01105422761326455
27  0.0615496551650316  0.01105422761326553
28  0.09647615239101796  0.013601558588413451
29  0.09647615239101762  0.013601558588414404
30  0.1325003892904863  0.012620333515902726
