Gamma, E, varE, T, varT, S, varS, dimension, vardimension 
0.0 -4.5 0.0 0.23058986999999997 0.0013710207886871231 7.566966014157261e-11 1.0878520743961605e-19 1.1 0.08999999999999986
0.05 -4.511257048897133 -3.552713678800501e-15 0.33944542999999994 0.0028685484802351557 0.13145004486820172 0.054131877005772794 9.1 4.890000000000015
0.1 -4.545113642930583 -1.0658141036401503e-14 0.322463745 0.0010815672612394661 0.13874460165596308 0.029020338100416324 11.8 4.859999999999985
0.15 -4.601832817143703 -7.105427357601002e-15 0.441717465 0.006223416081243327 0.12670592290148536 0.03264734389287497 19.15 10.927500000000009
0.2 -4.681876888194403 -3.552713678800501e-15 0.5445718249999999 0.012229472985886058 0.0786501465921157 0.014855609862317888 21.55 18.747499999999945
0.25 -4.785949859104835 1.4210854715202004e-14 0.9160351600000001 0.03407760944653915 0.18171417381017974 0.06511323445684006 31.75 29.6875
0.3 -4.915074008340783 1.3571366253017914e-12 1.2137383850000003 0.04624395323246855 0.16407687082833194 0.05285201516219222 47.95 12.647499999999582
0.35 -5.070731382428003 2.1223200974418432e-10 4.4817727949999995 0.6308918928297267 0.1358719738694224 0.033455405202591354 176.85 548.4275000000016
0.4 -5.255432841241903 1.981956287977482e-8 17.275365309999998 7.309529293329604 0.5549114274023844 0.07198345051931454 348.75 4327.087499999994
0.45 -5.474444794001155 3.552713678800501e-15 14.252573335 17.32454327049922 0.7855398307816612 1.7528756224294284e-11 149.15 2963.5274999999965
0.5 -5.7368566228349 -7.105427357601002e-15 6.839690755000001 4.023167391509894 0.7696465075116096 1.1102230246251565e-16 67.0 0.0
0.55 -6.045979358966685 -1.4210854715202004e-14 4.483547305 2.092416046298883 0.6385939189810127 -5.551115123125783e-17 65.0 0.0
0.6 -6.389192750734234 0.0 3.2998891200000005 0.7282142502469551 0.5085939001418652 0.0 61.0 0.0
0.65 -6.753968401668182 0.0 2.75209307 0.3063323460945444 0.41821462416618227 2.7755575615628914e-17 57.0 0.0
0.7 -7.133428337019305 -2.842170943040401e-14 2.355243345 0.16671062428906502 0.3546226581637224 -5.551115123125783e-17 51.0 0.0
0.75 -7.52369447270313 1.4210854715202004e-14 917.4986953950001 7.799266790621849e6 0.30719135397051456 5.551115123125783e-17 48.0 0.0
0.8 -7.922295753715258 3.552713678800501e-14 2.6091112350000003 1.978406690628967 0.27017439010843375 -2.7755575615628914e-17 45.0 0.0
0.85 -8.327520401102964 0.0 2.8525946999999996 1.3211389656964911 0.24035898324126942 2.7755575615628914e-17 43.0 0.0
0.9 -8.738120683920855 -1.4210854715202004e-14 2.1778276800000005 0.3678586190016553 0.21579147240418078 0.0 41.0 0.0
0.95 -9.153156049077896 1.4210854715202004e-14 1.7130799200000002 0.09762426335646701 0.195194848974129 -2.0816681711721685e-17 38.0 0.0
1.0 -9.571899917054182 0.0 1.6724535200000001 0.10743365281188266 0.17768791992533164 0.0 35.0 0.0
1.05 -9.993780101980477 1.4210854715202004e-14 1.75337262 0.10543539761637577 0.16263761523300907 6.938893903907228e-18 32.0 0.0
1.1 -10.418338804157052 -4.263256414560601e-14 1.71706549 0.11868522303667817 0.14957487885599835 -6.938893903907228e-18 31.0 0.0
