Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.1660472473886354e-14  4.706312170156002e-15
2  4.0  0.0  1.8143378007128692  0.001987041635512717
3  8.0  0.0  1.8143378007128732  0.0019870416355141653
4  16.0  0.0  3.6507160094719744  0.005517555482120398
5  32.0  0.0  3.650716009471979  0.005517555482119977
6  64.0  0.0  5.502559454512269  0.0065171299869116826
7  128.0  0.0  5.502559454512271  0.006517129986912256
8  256.0  0.0  7.367969242163282  0.006371667484297912
9  512.0  0.0  7.367969242163286  0.006371667484298006
10  1024.0  0.0  9.245692313090371  0.0057704247972131945
11  1024.0  0.0  9.245692313090373  0.005770424797213504
Numero de qubits: 21 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.297387734045048e-14  4.2588709023925106e-15
2  4.0  0.0  1.8149170337551355  0.00271670521186343
3  8.0  0.0  1.8149170337551415  0.0027167052118645596
4  16.0  0.0  3.6508894321285714  0.004355804862699768
5  32.0  0.0  3.6508894321285745  0.004355804862698979
6  64.0  0.0  5.502533205544559  0.004959396188287241
7  128.0  0.0  5.502533205544565  0.004959396188288439
8  256.0  0.0  7.3687148793629005  0.005487697940620722
9  512.0  0.0  7.368714879362907  0.005487697940620934
10  1024.0  0.0  9.245725238496172  0.005653846878398023
11  1024.0  0.0  9.245725238496172  0.005653846878396886
