Número de qubits: 20  
Layer	D	var(D)	Renyi	var(Renyi)
1  2.0  0.0  -0.0  0.0 
2  4.0  0.0  1.8151471382408328  8.299318276430701e-6 
3  8.0  0.0  1.8151471382408328  8.299318276430701e-6 
4  16.0  0.0  3.650487875542928  2.112051953340675e-5 
5  32.0  0.0  3.650487875542928  2.112051953340675e-5 
6  64.0  0.0  5.502801007217983  7.143163135769574e-5 
7  128.0  0.0  5.502801007217983  7.143163135769574e-5 
8  256.0  0.0  7.3686554148182655  4.0193525828865075e-5 
9  512.0  0.0  7.3686554148182655  4.0193525828865075e-5 
10  1024.0  0.0  9.246650441951143  1.6733833126224256e-5 
11  1024.0  0.0  9.246650441951143  1.6733833126224256e-5 
12  1024.0  0.0  9.092512515403566  0.00028900289485688543 
13  1024.0  0.0  9.092512515403566  0.00028900289485688543 
14  1024.0  0.0  9.024245042111287  5.835116638574298e-5 
15  1024.0  0.0  9.024245042111287  5.835116638574298e-5 
