Número de qubits: 40
Layer	Time	var(Time)
1  0.0032229464999999997  5.596392578088671e-5
2  0.03583910159999999  0.01207166573937856
3  0.0007406743  1.0892886528455556e-8
4  0.0009611946  8.152369818488884e-9
5  0.0007280638999999999  7.978903871211113e-9
6  0.0010734202  9.626249542844447e-9
7  0.0007335600000000001  8.522829697555555e-9
8  0.0014351143000000002  8.828234374011112e-9
9  0.0008052261  7.606412382544444e-9
10  0.0029552449  1.0163903149787786e-7
11  0.0009850310999999997  1.2870972341655551e-8
12  0.007111281299999999  3.0877652446423317e-7
13  0.0015314959000000002  1.3728854775432113e-6
14  0.07996266930000001  0.0017698882342380975
15  0.0436621158  0.004190237642356796
16  0.2340354276  0.00014654882565531339
17  0.0061472009  1.3478452863494335e-6
18  1.4334268374999999  0.01634115582307588
19  0.0245338083  0.000104254432494142
20  7.1705038891  0.05527224918654228
21  0.16129740200000003  0.005292946299524935
22  42.253179396600004  0.1355928731124983
Total= 51.4648711018
Varianza= 0.010492772220305618
