Número de qubits: 80
Layer	Time	var(Time)
1  0.0033073959999999998  1.5719420413844664e-5
2  0.0948714527  0.031845304985130544
3  0.0027196703999999997  6.470176450585155e-6
4  0.0025842584  6.04460260638222e-8
5  0.0019889536999999997  1.4758177944156664e-7
6  0.0029779497  8.487204973712219e-8
7  0.002137421  1.5330549787044447e-7
8  0.0044624129  1.5851801554543328e-7
9  0.0025535263  8.528802761334443e-8
10  0.0127993094  0.00011692057142405739
11  0.0037797733  1.2142679365014008e-5
12  0.0227861886  2.2834141789607604e-5
13  0.005784062  7.202446666577e-5
14  0.2374595946  0.0035778405798370227
15  0.006771653999999999  7.177068223827779e-6
16  0.8017757762000001  0.0016803450279437805
17  0.020897281900000002  6.045410654019657e-6
18  4.3499583799999995  0.0777950338364124
19  0.10363215880000001  0.004938315520006179
20  24.7933795766  0.3294683684774902
Total= 30.4766267965
Varianza= 0.022478261618660157
