Gamma, E, varE, T, varT, S, varS, dimension, vardimension 
0.0 -5.000000000000002 0.0 1.6094812699999999 40.42017823887153 2.370037502952455e-10 9.539315772915263e-19 1.25 0.1875
0.05 -5.012507832107787 0.0 0.23222853999999998 0.00032446147442141 0.055633412151585904 0.017935864969116023 7.5 4.149999999999999
0.1 -5.050126269896114 3.552713678800501e-15 0.256796115 0.004653807373652272 0.12856996794145437 0.04892846649243132 8.65 3.527499999999989
0.15 -5.113147574457068 -7.105427357601002e-15 0.2789774049999999 0.0011324441652635353 0.16999161940397686 0.061513935794802854 13.05 8.047499999999985
0.2 -5.202085428783066 -1.4210854715202004e-14 0.28835857000000004 0.0010495131500640603 0.16107550313964727 0.06392337870542601 14.05 5.047499999999957
0.25 -5.317722041623867 0.0 0.31995494 0.000636445894779375 0.1517725150306546 0.049885819897623876 15.65 0.8274999999999864
0.3 -5.461192921951287 8.526512829121202e-14 0.328037225 0.003564214528851889 0.08395971595612314 0.020894319900629225 16.0 0.0
0.35 -5.634143798940345 1.957545237019076e-12 0.3127096 0.0001974528783039997 0.03578267814060955 0.00023968870155308694 16.0 0.0
0.4 -5.8391726298513715 3.8413929814851144e-9 0.318691935 0.0003168370767203249 0.36469357387923595 0.031174713941425264 16.0 0.0
0.45 -6.081869067171929 4.263256414560601e-14 0.324234185 0.005291200413413216 0.7928144467246895 4.377754381224008e-9 16.0 0.0
0.5 -6.372745716797854 -1.4210854715202004e-14 0.312110565 0.00015539978100728713 0.7871235227510274 0.0 16.0 0.0
0.55 -6.71672839561767 0.0 0.318432395 0.00015663280212648012 0.6444278234591924 -5.551115123125783e-17 16.0 0.0
0.6 -7.098689529147324 2.842170943040401e-14 0.31978323 0.003786427871292103 0.5086357084286777 5.551115123125783e-17 16.0 0.0
0.65 -7.504263244530975 -2.1316282072803006e-14 0.310729775 0.0001886070680548746 0.4177620281740455 -2.7755575615628914e-17 16.0 0.0
0.7 -7.925980376968093 -2.1316282072803006e-14 0.33075434 0.004134401284522415 0.3543719448938732 1.3877787807814457e-16 16.0 0.0
0.75 -8.359642167511655 1.4210854715202004e-14 0.30837206 0.00026585048269239797 0.307082137911728 1.3877787807814457e-17 16.0 0.0
0.8 -8.802543984987603 1.4210854715202004e-14 0.31230157999999997 0.0002420780438166098 0.2701292730720575 1.3877787807814457e-17 16.0 0.0
0.85 -9.252797778755774 1.4210854715202004e-14 0.327553455 0.002669182108395493 0.2403403785679839 0.0 16.0 0.0
0.9 -9.709021899975282 1.4210854715202004e-14 0.306856815 0.0001984282625272782 0.21578364911408082 2.3314683517128287e-15 16.0 0.0
0.95 -10.170172928487855 -4.263256414560601e-14 0.3117576000000001 0.00023257355494991916 0.19519132302619036 6.654399253847032e-15 16.0 0.0
1.0 -10.635444149995791 -1.4210854715202004e-14 0.32650522500000007 0.0032502921522038486 0.17768630780500888 6.938893903907228e-18 16.0 0.0
1.05 -11.104200021126864 -4.263256414560601e-14 0.30855632 0.0002507417968496406 0.16263686463139293 2.463307335887066e-16 16.0 0.0
1.1 -11.575931961119327 -8.526512829121202e-14 0.31001004 0.00016755755635139424 0.1495745154364959 1.0408340855860843e-16 16.0 0.0
1.15 -12.050227506870632 0.0 0.32652051000000004 0.0034897045597648696 0.13814340195229552 6.938893903907228e-17 16.0 0.0
1.2 -12.526748229133613 -5.684341886080802e-14 0.30735998999999997 0.00016675689951591022 0.12806779531261503 4.5102810375396984e-17 16.0 0.0
1.25 -13.005213578436662 -2.842170943040401e-14 0.31057930499999997 0.00015278341574949394 0.11913049688752912 2.2551405187698492e-17 16.0 0.0
1.3 -13.485388848781156 5.684341886080802e-14 0.32839122500000006 0.00341841147228783 0.11115796004740981 1.214306433183765e-17 16.0 0.0
1.35 -13.967076066127902 -8.526512829121202e-14 0.34660115999999996 0.0005243936104344371 0.10400979599807492 1.0408340855860843e-17 16.0 0.0
1.4 -14.450106993367907 -8.526512829121202e-14 0.34279595000000007 0.0006626652702034497 0.09757119607360337 5.204170427930421e-18 16.0 0.0
1.45 -14.934337692904535 5.684341886080802e-14 0.3297648250000001 0.002873111208649845 0.09174736557812008 3.469446951953614e-18 16.0 0.0
1.5 -15.41964425188596 2.842170943040401e-14 0.313415395 0.000276246848578493 0.08645934891668368 0.0 16.0 0.0
1.55 -15.905919387574215 2.842170943040401e-14 0.31418788500000006 0.00026941531590825296 0.08164086996913175 8.673617379884035e-19 16.0 0.0
1.6 -16.39306972633927 -5.684341886080802e-14 0.31956754499999995 0.004166514009566524 0.07723589977976487 8.673617379884035e-19 16.0 0.0
1.65 -16.881013604050786 2.2737367544323206e-13 0.30267862 0.00026262384444360187 0.07319676315607207 -1.734723475976807e-18 16.0 0.0
1.7 -17.369679268411346 5.684341886080802e-14 0.292099155 0.00010929777509748051 0.0694825616857247 1.46150452851046e-15 14.3 0.5099999999999909
1.75 -17.85900343208811 -2.8421709430404007e-13 0.29632314000000004 0.00021356963515237193 0.06605837025557378 6.531233887052679e-16 14.2 0.36000000000001364
1.8 -18.34893002085001 -2.8421709430404007e-13 0.300621365 0.00509249719662129 0.06289369592602434 0.0 14.0 0.0
1.85 -18.839409133526296 -5.684341886080802e-14 0.28251181000000003 0.00020391244814686738 0.059961538735638864 2.0781631623889574e-12 13.55 1.1474999999999795
1.9 -19.33039639100317 5.684341886080802e-14 0.289502405 0.00038294030993146766 0.057239795723204055 2.2444116877518017e-12 13.35 2.0275000000000034
1.95 -19.821851883557922 1.1368683772161603e-13 0.274382575 0.0007037488278778953 0.05470710074823225 2.009741331687742e-12 12.05 2.047499999999985
2.0 -20.313740128013546 1.1368683772161603e-13 0.28005997499999996 0.0003012955781159232 0.05234821081959369 1.6495550585193808e-12 12.6 2.740000000000009
