Gamma, E, varE, T, varT, S, varS, dimension, vardimension 
0.0 -12.5 0.0 0.933359115 0.07023135482892817 0.0 0.0 1.0 0.0
0.05 -12.531269462344998 2.842170943040401e-14 1.1885457700000002 0.06543320695893162 1.0561491019148824e-5 8.105331336923961e-12 4.4 0.8399999999999963
0.1 -12.625314072150164 7.645439836778678e-12 1.02480181 0.004394663367259799 0.00014742989912910258 1.3306974943259397e-9 5.3 1.8099999999999987
0.15 -12.782867259240145 5.3432813729159534e-11 1.10186605 0.026963909444976508 0.014845447071003728 0.0037683834109873463 9.15 4.1274999999999835
0.2 -13.005213575963959 2.842170943040401e-14 1.2313543550000001 0.0459451987382542 0.03288047272224988 0.01767119174132582 12.1 3.789999999999992
0.25 -13.29430509651235 -5.684341886080802e-14 1.43442794 0.04848122406991573 0.005838778166462002 5.734341997011734e-12 14.25 2.5875000000000057
0.3 -13.652916563167853 3.881723387166858e-8 1.69606293 0.07723054671555696 0.012044633181472364 3.614973677506172e-6 16.8 13.159999999999968
0.35 -14.085152765905253 2.3913580093903875e-7 2.439552575 0.3142752964519886 0.03578096251282035 0.002717129820856171 21.45 31.547500000000014
0.4 -14.597206066976426 9.655505834871292e-7 3.235868645 0.5247025201532622 0.049090760006303046 9.285797323009505e-5 29.3 41.309999999999945
0.45 -15.200016040725467 1.2732925824820995e-11 4.429484895000001 0.34542061445925043 0.1395888366457163 0.0013964521886556426 32.0 0.0
0.5 -15.918111143772455 5.684341886080802e-14 4.334039715 0.2619431049853489 0.939695940048157 3.11116687967683e-11 32.0 0.0
0.55 -16.785883497579754 -5.684341886080802e-14 4.20703438 0.45278281219928473 0.6586909449659528 -2.220446049250313e-16 32.0 0.0
0.6 -17.74524242521568 -5.684341886080802e-14 4.304695669999999 0.3306134854240881 0.5067441872964639 1.1102230246251565e-16 32.0 0.0
