Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.3230151460755675e-14  4.7092548757361836e-15
2  4.0  0.0  1.814826329815063  0.002723469312910212
3  8.0  0.0  1.8148263298150655  0.0027234693129075437
4  16.0  0.0  3.650747445318448  0.0044019933217649835
5  32.0  0.0  3.6507474453184523  0.004401993321763766
6  64.0  0.0  5.503070774149739  0.00508215329851871
7  128.0  0.0  5.503070774149744  0.00508215329851914
8  256.0  0.0  7.369819103595421  0.006650489044149888
9  512.0  0.0  7.369819103595425  0.006650489044150043
10  1024.0  0.0  9.247755503779631  0.006009482107402983
11  1024.0  0.0  9.247755503779633  0.006009482107403287
12  1024.0  0.0  9.09387894112846  0.016922432763762946
Numero de qubits: 21 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.3454391316022718e-14  2.7257376154921995e-15
2  4.0  0.0  1.8150031581644508  0.0028056636698234492
3  8.0  0.0  1.8150031581644543  0.0028056636698237224
4  16.0  0.0  3.649884750841224  0.0037194843742868683
5  32.0  0.0  3.6498847508412275  0.0037194843742858353
6  64.0  0.0  5.503166442114375  0.007244658430920164
7  128.0  0.0  5.503166442114379  0.00724465843091872
8  256.0  0.0  7.3689041324931015  0.006606281123479368
9  512.0  0.0  7.368904132493105  0.006606281123479488
10  1024.0  0.0  9.245798923543198  0.006910509394860457
11  1024.0  0.0  9.2457989235432  0.006910509394860743
12  1024.0  0.0  9.513413775257872  0.015134019422877567
