Numero de qubits: 20 
Layer   Time var(Time)
1  0.0044176758  0.0001411288991644165
2  0.0039486618  0.000246233567187254
3  0.0088436454  0.009861552432070876
4  0.0040716718  0.00021028849012192733
5  0.004128755999999999  0.00021008166139860942
6  0.0048294454  0.00127701747706374
7  0.0050040614  0.00042795890947267364
8  0.006023535000000001  0.0005456110384480869
9  0.031045193  0.04830716285637459
10  0.014270512199999998  0.012362096039313387
11  0.0136968706  0.006507885188897007
12  0.039212153  0.05034931578569828
13  0.0392396652  0.010338055139461936
14  0.048882612  0.012387291669857265
15  0.0824808698  0.012502888576074433
16  0.1396325446  0.02911740952387655
17  0.355432329  0.09602770127672941
18  0.43706063680000007  0.1332737268232093
19  0.7049721174  0.2603828100420987
20  1.0898012206  0.2295781058694853
Total= 3.0369941767999995
Varianza= 0.7729556038782774

